University Of Manchester,100,315.8,302,327,152.4,138,166,163.4,161,168,3.574,3,4,3.7,3,6,98.4,88,107
Indiana University SPEA,80,319.5,318,322,161,160,164,158.5,158,159,3.6725,3.6,3.83,4.875,4.5,6,102,101,105
Washington State University (WSU),70.2702702703,314,283,331,156.884615385,139,170,157.115384615,135,170,3.522948718,1.4,4,3.9423076923,2,6,100.948717949,89,116
Worcester Polytechnic Institute,67.6056338028,311.572916667,296,329,151.71875,140,165,159.854166667,149,170,3.3968803186,2.7368421053,4,3.3697916667,2,4.5,101.90625,81,117
University Of Guelph,50,314.666666667,304,325,161,145,170,153.666666667,145,159,3.9,3.8,4,4,2.5,6,106.666666667,93,116
St. Louis University,69.696969697,312.434782609,293,335,158.130434783,145,170,154.304347826,142,166,3.7473913044,3.3,4,4.6086956522,3,6,101.913043478,93,116
University Of Montevallo,45.4545454545,301.6,296,315,152.3,147,157,149.3,145,158,3.628,3.1,3.94,3.8,3,4.5,97.7,94,103
Tennessee State University,91.6666666667,308.363636364,292,326,157.909090909,148,166,150.454545455,143,160,3.6872727273,3.3,3.89,4.2909090909,3.5,5.5,101.090909091,95,107
Wheaton College,75,318,303,328,162,151,168,156,149,160,3.8566666667,3.4,4,4.6666666667,4,5.5,105.166666667,96,111
Perimeter Institute,35.2941176471,325.833333333,313,335,162.333333333,157,170,163.5,143,170,3.725,3.44,3.93,3.9166666667,3,4.5,104.833333333,100,116
"University Of Michigan, Ann Arbor (Umich)",37.7777777778,329.882352941,311,340,163.411764706,142,170,166.470588235,158,170,3.7141176471,3.5,4,4.4411764706,2.5,6,107.529411765,92,116
Mercy College,85.1851851852,299.782608696,287,311,151.434782609,145,157,148.347826087,140,154,3.532173913,3,3.96,3.9782608696,3,5,97.1304347826,93,103
Louisiana State University,79.7297297297,315.186440678,296,337,157.957627119,141,170,157.228813559,144,170,3.6130508475,2.6,4,4.1652542373,2.5,6,101.330508475,92,116
University Of Texas Medical Branch,100,326,318,330,165.333333333,158,169,160.666666667,160,161,3.5266666667,3.33,3.92,4.1666666667,4,4.5,109.333333333,100,114
Carleton University,64.2857142857,319.888888889,310,335,163.333333333,153,170,156.555555556,145,166,3.6177777778,3,3.99,4.6111111111,3.5,6,106,98,116
Emerson,71.6981132075,316.5,300,334,161.026315789,152,169,155.473684211,145,167,3.8089473684,3.4,4,4.552631579,3.5,5.5,103.710526316,97,114
University of Maryland College Park,55.4966248795,318.657688966,282,340,157.346655083,135,170,161.311033884,138,170,3.5959601158,2.548,4,3.9945786273,2,6,104.463944396,81,119
Xavier University,80,309.125,303,321,156.25,153,161,152.875,148,161,3.80375,3.6,3.97,4.25,3.5,5,100.125,98,103
Duquesne,60,313.333333333,309,319,156.666666667,155,158,156.666666667,152,161,3.8766666667,3.78,4,4.1666666667,4,4.5,101,100,103
